HubID,HubFormat,AssortmentTier,CompetitorDistance,CompetitorOpenSinceMonth,CompetitorOpenSinceYear,LoyaltyProgram,LoyaltyProgramSinceWeek,LoyaltyProgramSinceYear,LoyaltyProgramInterval
399,1,1,5360.0,9.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
400,1,1,70.0,11.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
401,1,3,9200.0,10.0,2009.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
402,3,3,5830.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
403,1,1,4970.0,7.0,2015.0,0,,,
404,1,3,1420.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
405,1,1,1080.0,4.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
406,4,3,8240.0,3.0,2001.0,1,10.0,2013.0,"Feb,May,Aug,Nov"
407,1,1,5890.0,10.0,2003.0,1,14.0,2011.0,"Feb,May,Aug,Nov"
408,3,1,1560.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
409,4,3,840.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
410,3,1,40.0,11.0,2011.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
411,4,3,8460.0,,,0,,,
412,4,3,4460.0,,,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
413,1,3,760.0,9.0,2014.0,0,,,
414,4,3,6210.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
415,4,3,6910.0,4.0,2005.0,0,,,
416,1,3,4650.0,6.0,2014.0,0,,,
417,1,3,840.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
418,1,1,1060.0,5.0,2009.0,1,27.0,2011.0,"Feb,May,Aug,Nov"
419,3,1,1620.0,9.0,2009.0,0,,,
420,4,3,250.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
421,3,3,3530.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
422,1,3,2880.0,,,0,,,
423,2,1,1270.0,5.0,2014.0,0,,,
424,4,3,1250.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
425,4,3,1460.0,,,0,,,
426,1,1,250.0,,,0,,,
427,1,3,70.0,7.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
428,4,1,2960.0,12.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
429,4,3,16350.0,7.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
430,4,3,12870.0,10.0,2008.0,0,,,
431,4,3,4520.0,,,0,,,
432,1,1,810.0,5.0,2013.0,0,,,
433,1,3,30030.0,11.0,2010.0,0,,,
434,1,1,13020.0,8.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
435,1,1,910.0,,,0,,,
436,4,1,2300.0,,,0,,,
437,3,3,430.0,,,1,50.0,2010.0,"Jan,Apr,Jul,Oct"
438,4,3,1110.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
439,1,1,1350.0,9.0,2009.0,0,,,
440,4,1,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
441,4,1,2530.0,,,0,,,
442,3,1,500.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
443,4,1,11400.0,12.0,2005.0,0,,,
444,3,1,1700.0,11.0,2009.0,0,,,
445,1,1,240.0,,,0,,,
446,1,1,340.0,10.0,2000.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
447,1,3,1510.0,9.0,2013.0,0,,,
448,1,3,3970.0,9.0,2009.0,0,,,
449,1,3,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
450,3,1,5780.0,11.0,1994.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
451,1,1,2460.0,4.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
452,1,3,1850.0,8.0,2013.0,1,5.0,2011.0,"Feb,May,Aug,Nov"
453,1,3,75860.0,,,0,,,
454,1,1,26450.0,,,0,,,
455,4,3,7660.0,9.0,2010.0,0,,,
456,1,3,140.0,,,0,,,
457,4,3,13140.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
458,3,1,3390.0,,,0,,,
459,1,1,250.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
460,1,1,34050.0,4.0,2008.0,0,,,
461,4,3,1790.0,7.0,2013.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
462,1,1,44320.0,8.0,2008.0,0,,,
463,1,1,4160.0,,,0,,,
464,3,1,520.0,3.0,2009.0,0,,,
465,4,3,10890.0,4.0,2005.0,0,,,
466,1,3,3110.0,3.0,2003.0,0,,,
467,1,3,20390.0,4.0,2008.0,0,,,
468,3,3,5260.0,9.0,2012.0,0,,,
469,3,3,710.0,9.0,2005.0,0,,,
470,1,3,50.0,,,0,,,
471,4,1,5300.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
472,3,3,5030.0,8.0,2011.0,0,,,
473,1,1,50.0,,,0,,,
474,3,1,14810.0,,,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
475,1,1,140.0,9.0,2005.0,0,,,
476,4,1,8300.0,9.0,2006.0,0,,,
477,4,1,770.0,7.0,2010.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
478,4,3,1940.0,3.0,2012.0,0,,,
479,1,1,320.0,12.0,2005.0,1,9.0,2011.0,"Feb,May,Aug,Nov"
480,1,1,300.0,11.0,2012.0,0,,,
481,3,3,7470.0,,,1,44.0,2012.0,"Feb,May,Aug,Nov"
482,3,1,2550.0,10.0,2005.0,0,,,
483,1,3,2310.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
484,1,3,14300.0,3.0,2011.0,0,,,
485,4,3,3270.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
486,1,1,2320.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
487,4,3,2180.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
488,1,3,2890.0,4.0,2014.0,0,,,
489,1,1,14960.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
490,1,1,660.0,4.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
491,4,3,4680.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
492,1,1,1740.0,3.0,2008.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
493,4,3,1150.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
494,2,1,1260.0,6.0,2011.0,0,,,
495,4,1,5470.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
496,4,3,2780.0,6.0,2015.0,0,,,
497,1,3,1610.0,,,0,,,
498,1,1,990.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
499,3,3,450.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
500,4,3,10690.0,9.0,2007.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
501,1,3,1620.0,9.0,2006.0,0,,,
502,1,1,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
503,4,3,13080.0,9.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
504,3,3,820.0,,,0,,,
505,1,1,350.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
506,1,1,1850.0,12.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
507,1,3,9070.0,4.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
508,1,3,1280.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
509,1,1,4740.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
510,1,3,8260.0,,,0,,,
511,1,1,2060.0,9.0,2009.0,0,,,
512,2,2,590.0,,,1,5.0,2013.0,"Mar,Jun,Sept,Dec"
513,1,1,400.0,8.0,2013.0,0,,,
514,3,3,1200.0,7.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
515,4,3,11260.0,,,1,9.0,2011.0,"Feb,May,Aug,Nov"
516,1,3,20.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
517,1,3,22490.0,,,0,,,
518,4,3,3330.0,3.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
519,3,3,2510.0,8.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
520,1,3,6900.0,,,1,40.0,2012.0,"Mar,Jun,Sept,Dec"
521,4,1,18610.0,11.0,2002.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
522,4,3,7160.0,11.0,2012.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
523,3,3,50.0,11.0,2013.0,0,,,
524,1,3,40860.0,9.0,2013.0,0,,,
525,4,3,1870.0,9.0,2013.0,0,,,
526,1,1,120.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
527,4,3,5830.0,4.0,2008.0,0,,,
528,1,3,20620.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
529,4,3,12920.0,9.0,2012.0,0,,,
530,1,3,18160.0,,,0,,,
531,1,3,4030.0,,,0,,,
532,1,3,1070.0,8.0,2010.0,0,,,
533,1,3,5950.0,,,0,,,
534,4,1,1200.0,9.0,2009.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
535,1,1,3570.0,4.0,2007.0,0,,,
536,1,3,4700.0,9.0,2002.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
537,1,1,600.0,5.0,2002.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
538,1,1,990.0,2.0,2010.0,0,,,
539,1,1,770.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
540,4,3,810.0,,,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
541,1,3,650.0,7.0,1990.0,0,,,
542,1,1,7280.0,9.0,2012.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
543,3,1,1080.0,12.0,2012.0,0,,,
544,1,1,250.0,12.0,2001.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
545,1,3,5020.0,5.0,2006.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
546,1,1,580.0,1.0,2005.0,0,,,
547,4,3,8990.0,11.0,2009.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
548,4,3,3760.0,2.0,2009.0,0,,,
549,1,3,2330.0,,,0,,,
550,4,3,50.0,6.0,2015.0,0,,,
551,1,3,2190.0,9.0,2013.0,0,,,
552,1,1,4260.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
553,3,1,3040.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
554,3,3,1200.0,,,0,,,
555,4,1,1560.0,1.0,2014.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
556,4,3,1140.0,11.0,2014.0,0,,,
557,1,1,250.0,,,0,,,
558,1,1,3000.0,2.0,2010.0,0,,,
559,4,1,3910.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
560,3,3,1910.0,7.0,2013.0,0,,,
561,4,1,14300.0,,,0,,,
562,2,3,1210.0,,,0,,,
563,1,1,700.0,3.0,2015.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
564,4,3,6540.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
565,1,3,160.0,7.0,2007.0,0,,,
566,1,1,3620.0,,,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
567,3,1,1010.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
568,4,3,4270.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
569,1,1,1340.0,9.0,2006.0,0,,,
570,1,1,180.0,11.0,2006.0,0,,,
571,4,1,2110.0,11.0,1995.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
572,4,3,9230.0,4.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
573,1,1,1190.0,11.0,2012.0,1,36.0,2013.0,"Jan,Apr,Jul,Oct"
574,4,1,4400.0,,,0,,,
575,1,1,960.0,5.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
576,3,1,50.0,11.0,2006.0,0,,,
577,1,3,2270.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
578,4,1,12700.0,4.0,2013.0,0,,,
579,3,1,20970.0,11.0,2012.0,0,,,
580,1,3,170.0,2.0,2009.0,0,,,
581,1,1,7250.0,12.0,2013.0,0,,,
582,1,1,120.0,,,0,,,
583,1,1,2640.0,11.0,2002.0,0,,,
584,4,1,1360.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
585,4,3,440.0,4.0,2014.0,0,,,
586,1,3,250.0,10.0,2008.0,0,,,
587,4,3,330.0,9.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
588,4,3,15720.0,3.0,2010.0,0,,,
589,1,3,360.0,,,1,18.0,2013.0,"Feb,May,Aug,Nov"
590,4,3,4520.0,9.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
591,1,3,3340.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
592,1,1,2540.0,6.0,2005.0,0,,,
593,1,3,33060.0,3.0,2010.0,0,,,
594,1,1,1790.0,10.0,2011.0,0,,,
595,3,3,1130.0,6.0,2015.0,0,,,
596,3,1,290.0,9.0,2006.0,0,,,
597,1,1,150.0,9.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
598,3,1,550.0,12.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
599,4,3,580.0,11.0,2014.0,0,,,
600,4,3,17340.0,6.0,2010.0,1,9.0,2011.0,"Feb,May,Aug,Nov"
601,4,1,8220.0,4.0,2014.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
602,1,1,2710.0,7.0,2001.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
603,1,1,340.0,4.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
604,4,1,10950.0,3.0,2014.0,0,,,
605,4,1,10310.0,4.0,2003.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
606,1,1,2260.0,11.0,2007.0,0,,,
607,1,1,350.0,8.0,1999.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
608,1,3,18370.0,2.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
609,1,1,2070.0,9.0,2007.0,0,,,
610,1,1,660.0,1.0,2007.0,0,,,
611,1,1,8080.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
612,4,3,2490.0,11.0,2012.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct"
613,3,1,250.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
614,1,1,1160.0,12.0,2012.0,0,,,
615,4,1,730.0,8.0,2007.0,0,,,
616,1,3,3040.0,8.0,2011.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
617,1,3,8940.0,,,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
618,4,3,9910.0,,,0,,,
619,1,1,1600.0,6.0,2006.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
620,4,3,5440.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
621,1,1,30.0,7.0,2002.0,0,,,
622,1,3,,,,0,,,
623,1,1,4080.0,3.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
624,1,3,6920.0,9.0,2011.0,0,,,
625,1,1,1170.0,4.0,2011.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
626,3,3,10740.0,11.0,2013.0,0,,,
627,3,3,3970.0,3.0,2010.0,0,,,
628,1,3,2180.0,,,0,,,
629,4,1,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
630,1,1,1690.0,4.0,2015.0,0,,,
631,4,3,2870.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
632,1,1,3350.0,2.0,2010.0,0,,,
633,4,1,11640.0,4.0,2005.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
634,4,1,18610.0,,,0,,,
635,1,1,27530.0,4.0,2014.0,0,,,
636,3,1,720.0,10.0,2004.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
637,4,3,9790.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
638,4,1,10170.0,11.0,2001.0,0,,,
639,1,1,7780.0,11.0,2006.0,0,,,
640,4,3,8040.0,,,0,,,
641,1,3,610.0,12.0,2003.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
642,3,3,530.0,4.0,2005.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
643,1,1,230.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
644,3,1,4030.0,12.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
645,1,1,90.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
646,1,1,620.0,9.0,2014.0,0,,,
647,1,3,7420.0,4.0,2013.0,0,,,
648,4,1,2130.0,12.0,2008.0,0,,,
649,1,1,14570.0,11.0,2002.0,0,,,
650,1,1,1420.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
651,1,1,200.0,,,0,,,
652,1,1,20390.0,,,0,,,
653,4,3,7520.0,7.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
654,3,1,6930.0,9.0,2006.0,0,,,
655,4,3,960.0,11.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
656,4,1,410.0,4.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
657,3,3,80.0,1.0,2006.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
658,4,3,520.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
659,4,1,1590.0,3.0,2012.0,0,,,
660,1,1,1200.0,11.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
661,4,3,2140.0,7.0,2013.0,0,,,
662,4,1,1070.0,,,0,,,
663,1,3,7860.0,5.0,2005.0,0,,,
664,4,3,1680.0,10.0,2005.0,0,,,
665,1,1,90.0,12.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
666,3,3,2700.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
667,4,3,2870.0,9.0,2012.0,0,,,
668,3,1,1270.0,9.0,2010.0,0,,,
669,4,1,17080.0,7.0,2012.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
670,1,1,2060.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
671,1,3,2070.0,2.0,2008.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
672,3,1,240.0,9.0,2002.0,0,,,
673,4,3,15170.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
674,1,1,2640.0,12.0,2005.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
675,1,1,2100.0,8.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
676,2,2,1410.0,9.0,2008.0,0,,,
677,4,1,1740.0,6.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
678,3,1,3250.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
679,1,1,4140.0,9.0,2012.0,0,,,
680,3,1,170.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
681,1,3,620.0,,,1,1.0,2014.0,"Mar,Jun,Sept,Dec"
682,2,1,150.0,9.0,2006.0,0,,,
683,1,1,2850.0,7.0,2014.0,0,,,
684,4,3,680.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
685,1,1,650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
686,1,1,20050.0,4.0,2002.0,0,,,
687,4,3,2770.0,,,0,,,
688,1,1,18760.0,8.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
689,4,1,15040.0,10.0,2004.0,0,,,
690,1,1,100.0,,,0,,,
691,4,3,3030.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
692,1,1,40.0,8.0,2001.0,0,,,
693,4,1,450.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
694,1,3,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
695,1,1,550.0,7.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
696,1,3,430.0,,,0,,,
697,4,1,3780.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
698,1,1,1790.0,5.0,2011.0,0,,,
699,1,1,180.0,,,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
700,1,3,830.0,,,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
701,4,1,1450.0,3.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
702,1,1,8550.0,9.0,2001.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
703,1,1,80.0,6.0,2005.0,0,,,
704,4,3,1910.0,4.0,2009.0,0,,,
705,1,1,4140.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
706,4,1,7830.0,9.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
707,1,3,2900.0,7.0,1990.0,0,,,
708,3,3,11470.0,10.0,2009.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct"
709,1,1,500.0,12.0,2010.0,0,,,
710,4,1,1500.0,9.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
711,4,1,17110.0,3.0,2007.0,1,5.0,2010.0,"Jan,Apr,Jul,Oct"
712,1,1,4870.0,9.0,2007.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
713,1,3,220.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
714,4,3,12070.0,10.0,2005.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
715,1,1,14810.0,6.0,2014.0,0,,,
716,4,1,3200.0,1.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
717,4,3,310.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
718,1,1,1100.0,6.0,2015.0,0,,,
719,3,3,8190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
720,1,3,15320.0,3.0,2011.0,1,14.0,2013.0,"Feb,May,Aug,Nov"
721,1,3,3590.0,9.0,2012.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
722,1,1,50.0,,,0,,,
723,4,3,5650.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
724,4,3,5900.0,,,0,,,
725,4,3,17540.0,6.0,2012.0,0,,,
726,1,3,40540.0,2.0,2002.0,0,,,
727,1,1,2050.0,3.0,2007.0,0,,,
728,4,1,13990.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
729,3,3,8980.0,6.0,2011.0,0,,,
730,3,1,1190.0,9.0,2013.0,0,,,
731,1,1,15270.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
732,1,3,35280.0,,,0,,,
733,2,2,860.0,10.0,1999.0,0,,,
734,1,1,220.0,,,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
735,4,3,1920.0,4.0,2005.0,0,,,
736,3,3,1650.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
737,1,1,100.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
738,4,3,5980.0,10.0,2005.0,0,,,
739,4,3,2770.0,6.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
740,4,1,6400.0,3.0,2014.0,0,,,
741,4,3,11900.0,,,0,,,
742,4,3,4380.0,,,0,,,
743,1,1,6710.0,11.0,2003.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
744,1,1,1370.0,12.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
745,1,1,17650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
746,4,3,4330.0,2.0,2011.0,1,35.0,2011.0,"Mar,Jun,Sept,Dec"
747,3,3,45740.0,8.0,2008.0,0,,,
748,4,1,2380.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
749,1,1,3410.0,8.0,2011.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
750,4,1,8670.0,2.0,2002.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
751,1,1,650.0,10.0,2006.0,0,,,
752,1,1,970.0,3.0,2013.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
753,4,3,540.0,11.0,2012.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
754,3,3,380.0,5.0,2008.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
755,4,3,13130.0,12.0,2003.0,0,,,
756,1,3,50.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
757,1,3,3450.0,,,0,,,
758,1,3,19780.0,6.0,2008.0,0,,,
759,1,1,110.0,11.0,2012.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
760,1,1,560.0,1.0,2011.0,0,,,
761,1,1,2390.0,9.0,2012.0,0,,,
762,4,3,1280.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
763,4,3,32240.0,3.0,2010.0,0,,,
764,1,3,26490.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
765,1,3,25430.0,5.0,1999.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
766,4,3,9820.0,,,0,,,
767,1,3,13080.0,,,0,,,
768,1,3,2630.0,9.0,2012.0,0,,,
769,2,2,840.0,,,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
770,1,3,100.0,4.0,2015.0,0,,,
771,1,1,20640.0,9.0,2007.0,0,,,
772,4,3,1850.0,,,0,,,
773,1,1,200.0,,,0,,,
774,1,3,640.0,9.0,2013.0,0,,,
775,4,3,6970.0,12.0,2005.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
776,3,1,700.0,4.0,2009.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
777,4,3,8250.0,10.0,2004.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
778,1,1,340.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
779,1,1,16990.0,4.0,2004.0,0,,,
780,1,1,18160.0,,,0,,,
781,1,1,630.0,4.0,2007.0,0,,,
782,3,3,5390.0,8.0,2003.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
783,4,3,15490.0,,,0,,,
784,1,1,560.0,10.0,2014.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
785,4,3,970.0,7.0,2005.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
786,1,1,290.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
787,3,3,3210.0,6.0,2009.0,0,,,
788,1,3,1530.0,3.0,2013.0,0,,,
789,1,3,9770.0,7.0,2003.0,0,,,
790,4,3,9070.0,12.0,2003.0,0,,,
791,1,1,5950.0,4.0,2007.0,0,,,
792,4,1,17280.0,10.0,2009.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
793,4,1,2710.0,7.0,2006.0,0,,,
794,3,3,5090.0,9.0,2006.0,0,,,
795,4,1,510.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
796,1,3,7180.0,11.0,2012.0,0,,,
797,1,1,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
798,1,1,9560.0,4.0,2001.0,0,,,
799,1,3,2700.0,,,0,,,
800,4,1,2020.0,7.0,2014.0,0,,,
